ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
How fast does your hair grow?	ما مدى سرعة نمو شعرك؟	তোমার চুল কত দ্রুত গজায়?	你的头发长得有多快？	A quelle vitesse vos cheveux grandissent-ils ?	A ki vitès cheve w' grandi?	Berapa cepat rambut anda tumbuh?	Quão rápido seu cabelo cresce?	Как быстро растут твои волосы?	¿Qué tan rápido te crece el cabello?	Nywele zako huota haraka kiasi gani?	உங்கள் முடி எவ்வளவு வேகமாக வளர்கிறது?	ผมของคุณงอกเร็วแค่ไหน?	آپ کے بال کتنی تیزی سے بڑھتے ہیں؟
Follow me to the park.	أتـبـعـنـي إلـى الـحـديـقـة.	আমার সাথে পার্কে আসো	跟我一起去公园。	Suivez-moi au parc.	Swiv mwen nan pak la.	Ikut saya ke taman.	Siga-me até o parque.	Следуй за мной в парк.	Síganme al parque.	Nifuate kwenye hifadhi.	பூங்காவிற்கு என்னைப் பின்தொடர்ந்து வாருங்கள்.	ตามฉันไปที่สวนสาธารณะ	میرے پیچھے پارک میں چلئیے۔
Put that below your chair.	ضـع هـذا أسـفـل الـمـقـعـد.	ওইটা চেয়ারের কাছে রাখো	把那个放到你的椅子下面。	Mettez ça sous votre chaise.	Mete sa a anba chèz ou a.	Letakkannya di bawah kerusi anda.	Coloque isso embaixo de sua cadeira.	Помести это под стул.	Pongan eso debajo sus sillas.	Weka chini ya kiti	அதை உங்கள் நாற்காலிக்கு கீழே வைக்கவும்.	วางไว้ใต้เก้าอี้ของคุณ	اسے اپنی کرسی کے نیچے رکھیں۔
It is such a beautiful day.	إنـهُ يـومٌ جـمـيـل.	এইটা একটা সুন্দর দিন	今天的天气如此美丽。	C'est une si belle journée.	Jounen an sanble ap bèl. 	Ia adalah hari yang indah.	É um dia tão lindo.	Сегодня такой прекрасный день.	Es un día tan hermoso.	Ni siku nzuri sana	இது ஒரு அழகான நாள்.	มันช่างเป็นวันที่สวยงาม	یہ بہت خوبصورت دن ہے۔
How much money do I need?	كـم أحـتـاجُ مـن الـمـال؟	আমার কত টাকা লাগবে?	我需要多少钱？	De combien d'argent ai-je besoin ?	Konbyen lajan w' bezwen?	Berapa banyak wang yang saya perlukan?	Quanto dinheiro eu preciso?	Сколько денег мне нужно?	¿Cuánto dinero necesito?	Ninahitaji fedha kiasi gani?	எனக்கு எவ்வளவு பணம் தேவை?	ฉันต้องการเงินเท่าไหร่	مجھے کتنی رقم کی ضرورت ہے؟
This is our house.	هـذا مـنـزلـنـا.	এইটা আমাদের বাড়ি	这是我的房子。	C'est notre maison.	Sa a se kay nou.	Ini adalah rumah kami.	Esta é nossa casa.	Это наш дом.	Esta es nuestra casa. 	Hii ni nyumba yetu.	இது எங்கள் வீடு.	นี่คือบ้านของเรา	یہ ہمارا گھر ہے۔
Put the cat out.	أخـرج هـذه الـقـطـة للـخـارج.	বিড়ালটিকে বাইরে রাখ	把这只猫放出去。	Mets le chat dehors.	Mete chat la deyò.	Keluarkan kucing.	Coloque o gato para fora.	Вытащи кошку.	Saca al gato.	Muweke paka nje	பூனையை வெளியே விடுங்கள்.	เอาแมวออก	بلی کو باہر نکال دیں۔
The cat lives outside.	الـقـطـة تـعـيـشُ بالـخـارج0	বিড়ালটি বাইরে বাস করে	这只猫住在外面。	Le chat vit dehors.	Chat la ap rete deyò.	Kucing itu tinggal di luar.	O gato mora lá fora.	Кот живет снаружи.	El gato vive afuera.	Huyo / Yule paka huishi nje.	அந்த பூனை வெளியே வாழ்கிறது.	แมวอาศัยอยู่ข้างนอก	بلی باہر رہتی ہے۔
He went home without his shoes.	لـقـد ذهـب إلى مـنـزلهِ دون حـذائـهُ.	সে জুতো ছাড়াই বাসায় চলে গেলাম	他光着脚回了家。	Il est rentré chez lui sans ses chaussures.	L'al lakay li san soulye li la.	Dia pulang tanpa kasut.	Ele foi para casa sem sapatos.	Он пошел домой без обуви.	Él se fue a su casa sin zapatos.	Alienda nyumbani bila viatu	அவர் தனது காலணி இல்லாமல் வீட்டிற்கு சென்றார்.	เขากลับบ้านโดยไม่สวมรองเท้า	وہ اپنے جوتوں کے بغیر گھر چلا گیا۔
I found them over here.	لـقـد وجـدتـهـم هـنـا. / لـقـد عـثـرت عـلـيـهـم هـنـا.	আমি তাদের এখানে পেলাম	我在那里发现它们的。	Je les ai trouvées ici.	Mwen te jwenn yo fini isit la.	Saya menjumpai mereka di sini.	Eu os encontrei aqui.	Я нашел их здесь.	Yo los encontré aquí.	Nilivikuta hapa	நான் அவர்களை இங்கே கண்டுபிடித்தேன்.	ฉันพบพวกเขาที่นี่	میں نے اُنہیں یہاں پایا۔
What does that sound like?	كيف تـبـدو هـذه؟	এটা শুনতে কেমন লাগে?	那听起来怎么样？	Qu'est-ce que ça donne ?	A kisa son sa a sanble?	Seperti apa bunyi itu?	Como isso soa?	На что это похоже?	¿Qué parece ser ese ruido?	Inasikika kama nini?	அது எவ்வாறு ஒலிக்கும்? RoundThe melon is round.	เสียงนั้นเป็นอย่างไร?	وہ کیسا لگتا ہے؟
The melon is round.	الــبـطـيـخـة مُـسـتـديـرة.	তরমুজ গোল	这个瓜是圆的。	Le melon est rond.	Melon sa a won.	Tembikai itu bulat.	O melão é redondo.	Дыня круглая.	El melón es redondo.	Tikiti ni la duara	முலாம்பழம் உருண்டையாக இருக்கும்.	แตงโมนั้นกลม	خربوزہ گول ہے۔
Put that down on the ground.	ضـع هـذا على الأرض.	ওইটা উপরে রাখ	把那个放在地上。	Pose-le au sol.	Depoze sa a atè a.	Letakkannya di tanah.	Coloque isso no chão.	Положи это на землю.	Pon eso en el suelo.	Weka chini kwenye ardhi / sakafuni	அதை கீழே தரையில் போடு.	วางลงบนพื้น	اسے زمین پر رکھ دیں۔
Now you can do it.	الآن تـسـتـطـيـع أن تـفـعـلـهـا.	এখন তুমি করতে পারো	现在你可以做了。	Maintenant tu peux le faire.	Kounye a w' ka fè l'.	Sekarang anda boleh melakukannya.	Agora você pode fazer isso.	Теперь ты можешь это сделать.	Ahora puedes hacerlo.	Sasa unaweza kufanya.	இப்போது நீங்கள் அதை செய்ய முடியும்.	ตอนนี้คุณสามารถทำได้	اب آپ یہ کر سکتے ہیں۔
How will you do it?	كـيـف سـتـفـعـلـهـا؟	তুমি এটা কিভাবে করবে?	你打算怎么做？	Comment vas-tu faire ?	Kòman w' pral fè l'?	Bagaimana anda akan melakukannya?	Como você vai fazer isso?	Как ты это сделаешь?	¿Cómo vas a hacerlo?	Utafanya vipi?	நீங்கள் இதை எப்படி செய்வீர்கள்?	คุณจะทำอย่างไร	آپ اسے کیسے کریں گے؟
Point to the sky.	أشـر إلـى الـسـمـاء.	আকাশের দিকে তাকাও	指向天空。	Pointez vers le ciel.	fikse syèl la.	Menunjuk ke langit.	Aponte para o céu.	Укажи на небо.	Señala al cielo.	Onyesha anga	வானத்தை நோக்கி பிடியுங்கள்.	ชี้ให้เห็นฟ้า	آسمان کی طرف اشارہ کریں۔
He is a nice boy.	إنهُ صـبـيٌ لـطـيـف.	সে একজন সুন্দর ছেলে	他是一个好男孩。	C'est un gentil garçon.	Li se yon bèl tigason.	Dia anak lelaki yang baik.	Ele é um bom menino.	Он хороший мальчик.	Él es un buen chico.	Ni mvulana mzuri	அவன் ஒரு நல்ல சிறுவன்.	เขาเป็นเด็กดี	وہ ایک اچھا لڑکا ہوں۔
I saw a bird fly.	لـقـد رأيـتُ طـائـرٌ يُـحـلـق.	আমি একটা পাখি উড়তে দেখলাম	我看见一只鸟儿飞翔。	J'ai vu un oiseau voler.	Mwen te wè yon zwazo vole.	Saya melihat seekor burung terbang.	Eu vi um pássaro voar.	Я видел летящую птицу.	Yo ví volar un pájaro.	Niliona ndege akipaa	நான் ஒரு பறவை பறப்பதை பார்த்தேன்.	ฉันเห็นนกบิน	میں نے ایک پرندہ اُڑتے دیکھا۔
I will draw you a picture.	سـوف أرسم لكَ صـورة.	আমি তোমার ছবি এঁকে দেবো	我给你画一幅画。	Je vais te faire un dessin.	Mwen pral desine yon imaj pou ou.	Saya akan melukis gambar anda.	Vou fazer um desenho para você.	Я нарисую тебе картинку.	Te voy a hacer un dibujo.	Nitakuchorea picha	நான் உங்களுக்கு ஒரு படம் வரைகிறேன்.	ฉันจะวาดรูปให้คุณ	میں آپ کی تصویر بناؤں گا۔
Can you read this book?	هـل يُـمـكـنـكَ قـراءة هـذا الـكـتـاب؟	তুমি কি এই বইটা পড়তে পারো?	你可以阅读这本书吗？	Peux-tu lire ce livre ?	Ou ka li liv sa a?	Bolehkah anda membaca buku ini?	Você pode ler este livro?	Ты можешь прочитать эту книгу?	¿Puedes leer este libro?	Unaweza kusoma kitabu?	நீங்கள் இந்த புத்தகத்தை படிக்க முடியுமா?	คุณอ่านหนังสือเล่มนี้ได้ไหม	کیا آپ یہ کتاب پڑھ سکتے ہیں؟
Look at the picture.	أنـظـر إلى الـصـورة.	ছবিটির দিকে তাকাও	看着这副图。	Regarde l'image.	Gade foto a/imaj la.	Tengok gambarnya.	Olha a foto.	Посмотри на картинку.	Mira la foto.	Angalia picha	இந்த படத்தைப் பாருங்கள்.	ดูรูปนั่นสิ	تصویر کو دیکھیں
I took it with my phone.	لـقـد إلـتـقـطـهـا بــجـهـازي الـخـلوي.	ফোনের সাহায্যে আমিটা তুললাম	我用手机拍的。	Je l'ai prise avec mon téléphone.	Mwen te pran l' avèk telefòn mwen an.	Saya mengambilnya dengan telefon saya.	Peguei com meu telefone.	Взял с собой в телефоне.	La tomé con mi celular.	Niliichukua kwa simu yangu	நான் அதை என் தொலைபேசி மூலம் எடுத்தேன்.	ฉันเอามันไปกับโทรศัพท์	میں نے اسے اپنے فون کے ساتھ لیا۔
Is it a good picture of me?	هـل هـذهِ صـورة جـيـدة لـي؟	আমার কি এটা ভালো ছবি হয়েছে?	我这张照片好看吗？	C'est une bonne photo de moi ?	Se yon bon foto m'.	Adakah gambar saya baik?	É uma boa foto minha?	Это хорошая фотография?	¿Es una buena foto de mí?	Ni nzuri hii picha yangu?	இது என்னுடைய ஒரு நல்ல புகைப்படமா?	มันเป็นภาพที่ดีของฉันหรือไม่	کیا یہ میری اچھی تصویر ہے؟
I stood on the chair.	لـقـد وقـفـتُ على الـمـقـعـد.	আমি চেয়ারের উপর দাড়ালাম	我站在了椅子上。	Je suis monté sur la chaise.	Mwen kenbe kò m' sou chèz la.	Saya berdiri di atas kerusi.	Eu subi na cadeira.	Я встал на стул.	Me paré en la silla.	Nilisimama kwenye kiti	நான் நாற்காலியின் மேலே நின்றேன்.	ฉันยืนบนเก้าอี้	میں کرسی پر کھڑا ہوا۔
You are too kind.	إنـكَ لـطـيـفٌ جـدًا.	তুমি অনেক দয়ালু	你太好了。	Tu es trop gentil.	Ou janti twòp.	Awak terlalu baik hati.	Você é muito gentil.	Ты слишком добрый.	Tú eres muy amable.	Wewe ni mkarimu sana	நீங்கள் மிகவும் அன்பானவர்.	คุณใจดีมากเกินไป	آپ بہت مہربان ہیں.
I like to eat food.	أُحـبُ أن أَّكُلْ الـطـعـام.	আমি খেতে পছন্দ করি	我喜欢吃东西。	J'aime manger de la nourriture.	Mwen renmen manje nouriti a.	Saya suka makan makanan.	Eu gosto de comer comida.	Я люблю поесть.	Me gusta comer.	Napenda kula vyakula	எனக்கு உணவு உண்ண பிடிக்கும்.	ฉันชอบทานอาหาร	مجھے کھانا کھانا پسند ہے۔
Can we go soon?	هـل يـمـكـنـنـا الـذهاب قـريـبـًا؟	আমরা কি দ্রুত চলে যেতে পারি?	我们快去了？	On peut y aller bientôt ?	Èske ka ale byento?	Bolehkah kita pergi tidak lama lagi?	Podemos ir logo?	Мы можем скоро уйти?	¿Podemos ir pronto?	Tunaweza kwenda hivi karibuni?	நாம் விரைவில் செல்ல முடியுமா?	เราจะไปเร็ว ๆ นี้ไหม?	کیا ہم جلد جا سکتے ہیں؟
Is the moon in the sky now?	هـل الـقـمـرُ فى الـسـمـاء الآن؟	চাঁদ কি এখন আকাশে আছে?	月亮在空中了吗?	La lune est dans le ciel maintenant ?	Èske se lalin nan ki nan syèl la kounye a?	Adakah bulan di langit sekarang?	A lua está no céu agora?	Луна сейчас на небе?	¿Está la luna en el cielo, ahora?	Je mwezi unaonekana angani sasa?	இப்பொழுது வானத்தில் நிலவு உள்ளதா?	ตอนนี้พระจันทร์อยู่บนท้องฟ้าหรือไม่?	کیا اب آسمان پر چاند موجود ہے؟
We must stay in the room.	يـجـب عـليـنـا الـبـقـاء فى الـغـرفـة.	আমাদের কক্ষে থাকতে হবে	我们必须待在房间里。	Nous devons rester dans la chambre.	Nou dwe rete nan nan chanm lan.	Kita mesti tinggal di bilik.	Devemos ficar na sala.	Мы должны оставаться в комнате.	Debemos quedarnos en el cuarto.	Ni lazima tubaki chumbani	நாம் கண்டிப்பாக அறையில் தங்க வேண்டும்.	เราต้องอยู่ในห้อง	ہمیں کمرے میں رہنا چاہیے۔
Can you drive a car?	هـل تـسـتـطـيـع قـيـادة سـيـارة؟	তুমি কি গাড়িতে চালাতে পারো?	你会开车吗？	Tu sais conduire une voiture ?	Èske w' ka kondwi yon machin?	Boleh awak pandu kereta?	Você pode dirigir um carro?	Ты умеешь водить?	¿Sabes conducir un carro?	Unaweza kuendesha gari?	நீங்கள் ஒரு காரை ஓட்ட முடியுமா?	คุณขับรถได้ไหม?	کیا آپ گاڑی چلا سکتے ہیں؟
How far can you go?	إلـى أي مـدى يُـمـكـنـك أن تـذهـب؟	তুমি কতদূর যেতে পারবে?	你可以去多远？	Jusqu'où peux-tu aller ?	Jis ki kote w' ka ale?	Sejauh mana anda boleh pergi?	Quão longe você pode ir?	Как далеко ты сможешь зайти?	¿Qué tan lejos puedes llegar?	Unaweza kwenda umbali gani?	உங்களால் எவ்வளவு தூரம் செல்ல முடியும்?	ไกลแค่ไหนที่คุณสามารถไป?	آپ کتنی دور جا سکتے ہیں؟
When will it get dark?	مـتــى سـيـحـل الـظـلام؟	অন্ধকার কখন হবে?	什么时候开始变黑？	Quand est-ce qu'il fera nuit ?	Kilè l'ap fènwa?	Bilakah ia akan menjadi gelap?	Quando vai escurecer?	Когда стемнеет?	¿A qué hora va a oscurecer?	Giza litaingia saa ngapi?	எப்பொழுது இருட்டாகும்?	เมื่อไหร่จะมืด	اندھیرا کب ہوگا؟
How hard is it to drive?	مـا مـدى صـعـوبـة الـقـيـادة؟	এইটা চালানো কত কঠিন?	开车有多难？	C'est dur de conduire ?	Èske l' difisil pou kondwi?	Berapa sukar untuk memandu?	É muito difícil dirigir?	Насколько тяжело водить машину?	¿Qué tan difícil es conducir?	Ni vigumu kiasi gani kuendesha?	இதை ஓட்டுவது எவ்வளவு கடினம்?	ขับยากแค่ไหน?	گاڑی چلانا کتنا مشکل ہے؟
It needs a new part.	إنـهـا تـحـتـاج إلـى جـزءٍ جـديـد.	এইটার একটা নতুন অংশ প্রয়োজন	它需要新的部件。	Il faut une nouvelle pièce.	Li bezwen yon nouvèl pati.	Ia memerlukan bahagian baru.	Precisa de uma nova parte.	Нужна новая деталь.	Necesita una pieza de repuesto.	Inahitaji kifaa kipya	இதற்கு புதிய பாகம் தேவை.	มันต้องการส่วนใหม่	اسے نئے حصے کی ضرورت ہے۔
I need more parts.	أحـتـاج إلـى الـمـزيـد مـن الأجـزاء.	আমার আরও অংশ প্রয়োজন	我需要更多的部件。	J'ai besoin de plus de pièces.	Mwen bezwen plis pyès.	Saya memerlukan lebih banyak bahagian.	Eu preciso de mais peças.	Мне нужно больше деталей.	Necesito más repuestos.	Nahitaji vifaa vingi zaidi	எனக்கு நிறைய பாகங்கள் தேவை.	ฉันต้องการชิ้นส่วนเพิ่ม	مجھے زیادہ حصوں کی ضرورت ہے۔
Can you start the car?	هـل يُـمـكـنـك تـشـغـيـل الـسـيـارة؟	তুমি কি গাড়ি চালাতে পারো?	你可以启动这辆车吗？	Tu peux démarrer la voiture ?	Èske w' ka demare machin lan?	Bolehkah anda memulakan kereta?	Você pode ligar o carro?	Ты можешь завести машину?	¿Puedes arrancar el carro?	Unaweza kuwasha gari?	உங்களால் காரை எடுக்க முடியுமா?	คุณสามารถสตาร์ทรถได้หรือไม่?	کیا آپ گاڑی چالو کر سکتے ہیں؟
This is my first one.	هـذه الـمرة الأولـى لـي.	এটাই আমার প্রথম	这是我第一个。	C'est ma première.	Sa a se premye m'.	Ini adalah yang pertama saya.	Este é o meu primeiro.	Это мой первый.	Este es mi primero.	Ni ya kwanza kwangu	இது என் முதல் ஒன்றாகும்.	นี่เป็นครั้งแรกของฉัน	یہ میرا پہلا ہے۔
She is a nice girl.	إنـهـا فـتـاة لـطـيـفة.	সে একজন সুন্দর মেয়ে	她是一个好女孩。	C'est une gentille fille.	Li se yon bèl tifi.	Dia seorang gadis yang baik.	Ela é uma garota legal.	Она милая девушка.	Ella es una chica agradable.	Ni dada / binti / msichana mzuri	அவள் ஒரு நல்ல பெண்.	เธอเป็นผู้หญิงที่ดี	وہ ایک اچھی لڑکی ہے۔
Let her drive it.	إجـعـلـهـا تـقـود الـسـيـارة.	তাকে চালাতে দাও	让她来开车。	Laisse-la conduire.	kite l' kondwi l'.	Biarkan dia memandu.	Deixe ela dirigir.	Позволь ей вести.	Deja que ella lo conduzca.	Muache aendeshe	அதை அவளை ஓட்ட விடுங்கள்.	ปล่อยให้เธอขับมัน	اُسے یہ چلانے دیں۔
Do you want this or that?	هـل تُـريد هـذا أم ذاك؟	তুমি কি এইটা অথবা ওইটা চান?	你想要这个还是那个？	Tu veux ça ou ça ?	Èske w' vle sa a oubyen sa a?	Adakah anda mahukan ini atau itu?	Você quer isso ou aquilo?	Ты хотешь это или то?	¿Quieres esto o aquello?	Unataka hii or ile?	உங்களுக்கு அது வேண்டுமா இல்லை இது வேண்டுமா?	คุณต้องการสิ่งนี้หรือไม่	کیا آپ یہ چاہتے ہیں یا وہ؟
Is this for me?	هـل هـذا لـي؟	এটা কি আমার জন্য?	这个是给我的吗？	C'est pour moi ?	Sa a se pou mwen?	Adakah ini untuk saya?	Isso é para mim?	Это мне?	¿Es esto para mí?	Hii ni kwa ajili yangu	இது எனக்காகவா?	นี้สำหรับฉันหรือไม่	کیا یہ میرے لیے ہے؟
Form this clay into a ball.	شـكـل هـذا الـفـخـار عـلى هيـئـة كـرة.	এই মাটি বল এ রূপান্তরিত করুন	把这泥土滚成一个球。	Formez une boule avec cette argile.	Fòme ajil sa a an yon boul.	Bentuk tanah liat ini menjadi bola.	Transforme esta argila em uma bola.	Сформируй из этой глины шар.	Haz una bola con este barro.	Unda huu mfinyazi uwe kama mpira.	இந்த களிமண்ணை ஒரு பந்தாக உருவாக்குங்கள்.	รูปแบบดินนี้เป็นลูก	اس مٹی کو ایک گیند میں بنائیں۔
It is a short story.	إنـهـا قـصـةٌ قـصـيـرة.	এইটা একটা সংক্ষিপ্ত গল্প	这是一个简短的故事。	C'est une histoire courte.	Sa se yon istwa kout.	Ia adalah cerpen.	É uma pequena história.	Это небольшой рассказ.	Es una historia corta.	Ni hadithi fupi	இது ஒரு சிறுகதை.	มันเป็นเรื่องสั้น	یہ ایک مختصر کہانی ہے۔
Turn on the fan.	قُـم بـتـشـغـيـل الـمـروحـة.	পাখা টি চালান	把风扇打开。	Allumez le ventilateur.	Limen vantilatè a.	Hidupkan kipas.	Ligue o ventilador.	Включи вентилятор.	Enciende el ventilador.	Washa feni	விசிறியை இயக்குங்கள்.	เปิดพัดลม	پنکھا چلا دیں۔
Come over here.	تـعـالـى إلى هـنـا.	এখানে আসুন	过来这边。	Viens par ici.	Vini pa isit.	Mari ke sini.	Venha aqui.	Иди сюда.	Ven aquí.	Njoo hapa	இங்கு வாருங்கள்.	มานี้สิ	یہاں پر آئیں۔
Do you ever lose?	هـل خـسـرتُ من قـبـل؟	তুমি কি কখনো হেরেছো?	你曾输过吗？	Ça t'arrive de perdre ?	Èske te pèdi deja?	Adakah anda pernah kalah?	Você sempre perde?	Ты когда-нибудь проигрываешь?	¿Pierdes tú, alguna vez?	Huwa unashindwa kamwe?	நீங்கள் எப்போதாவது தோற்பீர்களா?	คุณเคยแพ้ไหม	کیا آپ کبھی ہارتے / ہارتی ہیں؟
Can you do it later?	هـل يُـمـكـنـكً أن تـفـعـلـهـا لاحـقـًا؟	তুমি কি এইটা পড়ে করতে পারবে?	你可以晚点做吗？	Tu peux le faire plus tard ?	Èske w' ka fè sa pita?	Bolehkah anda melakukannya kemudian?	Você pode fazer isso mais tarde?	Ты сможешь сделать это позже?	¿Puedes hacerlo más tarde?	Unaweza kuifanya / kukifanya baadae?	நீங்கள் அதை சிறிதுநேரம் கழித்து செய்ய முடியுமா?	คุณทำมันที่หลังได้ไหม	کیا آپ اسے بعد میں کر سکتے ہیں؟
Write it on the paper.	أكـتـبـها فى ورقـة.	কাগজের উপর লেখ	把它写在纸上。	Écris-le sur le papier.	Ekri l' sou papye a.	Tuliskan di atas kertas.	Escreva no papel.	Напиши это на бумаге.	Escríbelo en el papel.	Andika kwenye karatasi	அதை காகிதத்தில் எழுதுங்கள்.	เขียนลงบนกระดาษ	اسے کاغذ پر لکھیں۔
Order lunch for me.	أطـلـب لــي الـغـداء.	আমার জন্য দুপুরের খাবার অর্ডার করুন	帮我点份午餐。	Commande le déjeuner pour moi.	Kòmande kolasyon an pou mwen.	Pesan makan tengah hari untuk saya.	Peça o almoço para mim.	Закажи мне обед.	Ordena mi almuerzo.	Niagizie chakula cha mchana	எனக்கு மதிய உணவு ஆர்டர் செய்யுங்கள்.	สั่งอาหารกลางวันให้ฉัน	میرے لیے دوپہر کا کھانے کا حکم دیں۔
Do it after lunch.	إفـعـلـهـا بـعـد الـغـداء.	দুপুরের খাবারের পর করো	午饭后再做。	Fais-le après le déjeuner.	Fè li aprè kolasyon an.	Lakukan selepas makan tengah hari.	Faça isso depois do almoço.	Сделай это после обеда.	Hazlo después de almorzar.	Fanya baada ya kula mchana	மதிய உணவிற்கு பிறகு இதை செய்யுங்கள்.	ทำหลังอาหารกลางวัน	دوپہر کے کھانے کے بعد کریں۔
Look under your chair. 	أنـظـر أسـفـل الـمـقـعـد.	চেয়ারের নিচে তাকাও	看你的椅子下面。	Regarde sous ta chaise. 	Gade anba chèz ou a.	Lihat di bawah kerusi anda.	Olhe embaixo da sua cadeira.	Загляни под свой стул.	Mira debajo de tu silla.	Angalia chini ya kiti chako	உங்கள் நாற்காலியின் கீழே பாருங்கள்.	ดูใต้เก้าอี้ของคุณ	اپنی کرسی کے نیچے دیکھیں۔
I never thought it would happen.	لـم أكـن أتـوقـع أن يـحـدُث هـذا.	এটা হতে পারে আমি কখনো ভাবি নি	我从没想过它会发生。	Je n'ai jamais pensé que ça arriverait.	Mwen pa te janm panse sa t'ap pase.	Saya tidak pernah menyangka ia akan berlaku.	Nunca pensei que isso fosse acontecer.	Никогда не думал, что это случится.	Nunca imaginé que podría ocurrir.	Sikudhani ingelitokea	இது நடக்கும் என்று நான் ஒருபோதும் நினைத்ததில்லை.	ฉันไม่เคยคิดว่ามันจะเกิดขึ้น	میں نے کبھی نہیں سوچا تھا کہ ایسا ہوگا۔
The boat is in the river. 	الـمـَركِـبْ فى الـنـهـر.	নৌকাটি নদীতে	那只船在河里。	Le bateau est dans la rivière. 	Bòt la sou rivyè a.	Bot berada di sungai.	O barco está no rio.	Лодка стоит в реке.	La embarcación está en el río.	Mashua iko mtoni	படகு ஆற்றில் உள்ளது.	เรืออยู่ในแม่น้ำ	کشتی دریا میں ہے۔
Turn the power on.	قُـم بـتـشـغـيـل	শক্তি চালু করুন	把电闸打开。	Allumez le courant.	Limen aparèy la/Mete l' sou tansyon.	Hidupkan kuasa.	Ligue a energia.	Включи питание.	Enciende la unidad.	Washa umeme	இயக்கத்தை ஆரம்பியுங்கள்.	เปิดเครื่อง	بجلی چالو کریں۔
It gets cold in winter.	يـصـبـح الـجـو بـاردًا شـتـاءً.	শীতে অনেক ঠান্ডা পড়ে	它冬天会变冷。	Il fait froid en hiver.	L'ap fè frèt an ivè.	Ia menjadi sejuk pada musim sejuk.	Faz frio no inverno.	Зимой становится холодно.	En invierno hace frío.	Kunakuwa na baridi msimu huo	குளிர்காலத்தில் குளிர்ச்சி பரவும்.	มันหนาวในฤดูหนาว	موسمِ سرما میں ٹھنڈ ہو جاتی ہے۔
What number is next?	مـا هـو الـرقـم الـتـالـي؟ / مـا هـو الـعـدد الـتـالـي؟	পরবর্তী সংখ্যা কি?	下一个数字是什么？	Quel est le prochain numéro ?	Ki pwochen nimewo a?	Nombor apa yang seterusnya?	Qual é o próximo número?	Какой следующий номер?	¿Qué número sigue?	Namba ipi inafuata?	அடுத்த எண் எது?	หมายเลขถัดไปคืออะไร	اگلا عدد کیا ہے؟
Perhaps you will win.	ربـمـا سـوف تـفـوز.	সম্ভবত আপনি জিতবেন	也许你会获胜。	Tu vas peut-être gagner.	Petèt ou pral genyen.	Mungkin anda akan menang.	Talvez você ganhe.	Возможно, ты выиграешь.	Tal vez ganes.	Labda utashinda	ஒருவேளை நீங்கள் வெற்றி அடையலாம்.	บางทีคุณอาจจะชนะ	شاید آپ جیت جائیں گے۔
Do it however you can.	إفـعـلـهُ كـيـفـمـا شـئـت.	তুমি এটা যেভাবে পারো করো	尽你最大的努力去做。	Fais-le comme tu peux.	Fè sa jan w' kapab.	Lakukan seperti yang anda boleh.	Faça como puder.	Делай, как можешь.	Hazlo como puedas.	Fanya vyovyote uwezavyo	உங்களால் எவ்வாறு முடியுமோ அப்படி செய்யுங்கள்.	ทำอย่างไรก็ตามคุณสามารถ	بہرحال اسے کریں، آپ کر سکتے ہیں۔
Do you remember him?	هـل تـتـذكـرهُ؟	তুমি কি তাকে মনে করতে পারো?	你记得他吗？	Vous vous souvenez de lui ?	Èske w' sonje l'?	Adakah anda ingat dia?	Lembras-te dele?	Ты его помнишь?	¿Lo recuerdas?	Unamkumbuka (huyo mwanaume)?	உங்களுக்கு அவரை நினைவு இருக்கிறதா?	คุณจำเขาได้ไหม	کیا آپ اسے یاد کرتے ہیں؟
Do you understand me?	هـل تـفـهـمـنـي؟	তুমি কি এটা বুঝতে পারো?	你理解我吗？	Vous me comprenez ?	Èske w' konprann mwen?	Adakah awak memahami saya?	Você me entende?	Ты понимаешь меня?	¿Me entiendes?	Unanielewa?	உங்களுக்கு என்னை புரிந்துகொள்ள முடிகிறதா?	คุณเข้าใจฉันไหม?	کیا آپ میری بات سمجھ رہے ہیں؟
It gets warm in summer.	يــصـبـح الـجـو دافـئـًا صـيـفـًا.	গ্রীষ্মে অনেক গরম পড়ে	它夏天会变暖。	Il fait chaud en été.	Li fè cho an ete.	Ia menjadi panas pada musim panas.	Faz calor no verão.	Летом становится тепло.	En verano hace calor.	Kunakuwa na joto msimu huo	கோடைகாலத்தில் சூடாக இருக்கும்.	ได้รับความอบอุ่นในฤดูร้อน	موسمِ گرما میں گرمی ہو جاتی ہے۔
Can you spell this word?	هل يمكنك تهجئة هذه الكلمة؟	তুমি কি শব্দটির বানান করতে পারো?	你会拼这个单词吗？	Pouvez-vous épeler ce mot ?	Ou ka eple mo sa a?	Bolehkah anda mengeja perkataan ini?	Você pode soletrar esta palavra?	Ты можешь написать это слово по буквам?	¿Puedes deletrear esta palabra?	Unaweza kutamka (kutaja herufi za) hili neno?	இந்த வார்த்தையை நீங்கள் உச்சரிக்க முடியுமா?	คุณสะกดคำนี้ได้ไหม?	کیا آپ اس لفظ کی ہجے کر سکتے ہیں؟
